time_UTC  Vup  Vnorth  Veast  Vdown
690468396.942  0.0210307  0.00790912  0.0223684  -0.0210307
690468396.998  -0.0397446  -0.000578799  -0.0246135  0.0397446
690468397.054  0.0252689  -0.0362874  -0.0240156  -0.0252689
690468397.110  0.0382644  -0.0027046  0.0165595  -0.0382644
690468397.166  0.00767015  0.0196638  0.0254008  -0.00767015
690468397.222  -0.0236193  -0.00363093  -0.0340014  0.0236193
690468397.278  0.00331859  0.00152023  0.0444796  -0.00331859
690468397.334  0.00627607  -0.00911191  0.00271385  -0.00627607
690468397.390  -0.0019137  -0.0110563  -0.0356033  0.0019137
690468397.446  -0.033964  0.0282615  0.000958818  0.033964
690468397.502  0.0413127  0.01773  0.0295751  -0.0413127
690468397.558  0.0841508  -0.042543  0.00561523  -0.0841508
690468397.614  -0.10717  0.0192016  -0.0194946  0.10717
690468397.670  0.00292867  -0.0446891  -0.0279699  -0.00292867
690468397.726  -0.0178093  0.0596779  0.00920281  0.0178093
690468397.782  -0.0591317  0.0365097  0.0181669  0.0591317
690468397.838  -0.0286092  0.0246351  -0.0518674  0.0286092
690468397.894  0.0479974  -0.0156177  -0.0251484  -0.0479974
690468397.950  -0.00850662  0.0399104  0.0375528  0.00850662
690468398.006  -0.0465549  -0.0661588  -0.00615092  0.0465549
690468398.062  0.0699235  -0.00571594  -0.0134142  -0.0699235
690468398.118  0.00366503  -0.0137957  0.0596768  -0.00366503
690468398.174  -0.0901095  0.0434539  -0.0279898  0.0901095
690468398.230  0.0291181  0.0130654  -0.0215265  -0.0291181
690468398.286  0.0237562  0.0216662  -0.0298763  -0.0237562
690468398.342  -0.00571436  -0.00848963  0.0185751  0.00571436
690468398.398  -0.00657179  -0.0394859  0.00741205  0.00657179
690468398.454  -0.0150643  -0.0103814  0.0218217  0.0150643
690468398.510  0.00933373  0.0550403  -0.0211663  -0.00933373
690468398.566  -0.0361986  -0.00644656  -0.00874702  0.0361986
690468398.622  -0.0609531  0.0347049  -0.0142074  0.0609531
690468398.678  -0.0706471  0.0156402  -0.0249128  0.0706471
690468398.734  0.0273037  -0.00484749  -0.00823282  -0.0273037
690468398.790  0.0714959  -0.0136292  0.0464061  -0.0714959
690468398.846  0.00605253  0.00489246  -0.0028749  -0.00605253
690468398.902  -0.00616677  -0.0233073  -0.0336219  0.00616677
690468398.958  -0.0203377  0.00896665  0.0108942  0.0203377
690468399.014  -0.0440477  0.00843312  0.00298526  0.0440477
690468399.070  0.0363184  -0.0203148  -0.00574059  -0.0363184
690468399.126  0.0321323  0.00615432  0.00679613  -0.0321323
690468399.182  -0.00242731  -0.044309  0.0290381  0.00242731
690468399.238  -0.105633  0.040271  -0.0437513  0.105633
690468399.294  0.0684727  0.00589092  0.00835632  -0.0684727
690468399.350  -0.0235456  0.00134088  0.0062646  0.0235456
690468399.406  0.0595005  -0.0118893  -0.0161716  -0.0595005
690468399.462  -0.0177555  0.00668192  0.0177862  0.0177555
690468399.518  0.00414659  -0.0179985  0.00156673  -0.00414659
690468399.574  0.0152709  0.0120204  0.00967985  -0.0152709
690468399.630  -0.0964434  0.0293852  -0.0433485  0.0964434
690468399.686  0.0192546  -0.0213318  -0.0126255  -0.0192546
690468399.742  0.0412996  -0.0209689  0.0474231  -0.0412996
690468399.798  0.0298854  0.014462  0.0212339  -0.0298854
690468399.854  -0.0244929  -0.0184261  -0.0460697  0.0244929
690468399.910  -0.0434086  0.0229162  0.0176346  0.0434086
690468399.966  0.0189753  0.00662016  -0.0242682  -0.0189753
690468400.022  0.00117061  0.0194761  -0.00816257  -0.00117061
690468400.078  0.0110424  0.0121509  0.0559585  -0.0110424
690468400.134  -0.0815513  0.00834964  -0.0266816  0.0815513
690468400.190  -0.0191728  -0.00698771  -0.0251471  0.0191728
690468400.246  -0.0139682  0.0166069  -0.0160625  0.0139682
690468400.302  0.0637134  -7.49013e-05  0.0418184  -0.0637134
690468400.358  -0.0454895  0.0305437  -0.0143677  0.0454895
690468400.414  -0.0515518  -0.00559339  -0.0447396  0.0515518
690468400.470  0.0158376  -0.0213787  0.0304846  -0.0158376
690468400.526  0.0368184  -0.0175731  0.0170725  -0.0368184
690468400.582  -0.0132449  0.00193819  -0.00790659  0.0132449
690468400.638  0.01368  -0.0270285  -0.00198846  -0.01368
690468400.694  0.00277805  0.0247142  0.0130143  -0.00277805
690468400.750  -0.00352436  -0.0127845  -0.0138696  0.00352436
690468400.806  -0.0171965  0.00804302  -0.000981997  0.0171965
690468400.862  0.0116764  0.0096278  -0.0126091  -0.0116764
690468400.918  0.0449303  -0.0289026  0.0307255  -0.0449303
690468400.974  -0.00723734  0.0142684  0.00552897  0.00723734
690468401.030  -0.0368415  -0.0106247  -0.00788087  0.0368415
690468401.086  -0.058876  0.0094611  -0.0384062  0.058876
690468401.142  -0.0136612  0.0177608  0.000755324  0.0136612
690468401.198  0.100076  0.0126573  0.0243295  -0.100076
690468401.254  -0.0645209  -0.0190628  0.022264  0.0645209
690468401.310  -0.00970694  -0.0160129  -0.0264449  0.00970694
690468401.366  0.0416161  0.00802652  0.00633702  -0.0416161
690468401.422  0.0199249  -0.00278631  0.0063215  -0.0199249
690468401.478  -0.0600305  -0.026574  -0.0131384  0.0600305
690468401.534  0.00789826  0.0162182  0.0100845  -0.00789826
690468401.590  -0.0135433  0.0210889  -0.00892988  0.0135433
690468401.646  0.00384128  -0.0235283  -0.0196553  -0.00384128
690468401.702  -0.000686181  0.0214608  -0.00390963  0.000686181
690468401.758  -0.0169108  -0.0233785  0.017298  0.0169108
690468401.814  0.0364242  0.026668  -0.00338052  -0.0364242
690468401.870  -0.0290367  0.00036489  0.040746  0.0290367
690468401.926  0.0147323  -0.0539019  0.00233442  -0.0147323
